id,title,description,availability,condition,price,link,image_link,brand,google_product_category
1,"وجبة وابر "," قطعة من اللحم البقرى المشويه على اللهب يعلوهم البصل الطازج وشرائح المخلل مع الكاتشب والطماطم والخس داخل خبز برجر كنج المميزمع البطاطا و مشروب غازي",in stock,new,2.250,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/6000.jpg                                         ",Babji Consult Techies,وجبات مشوية على اللهب
2,وجبة هامبرجر,-,in stock,new,1.400,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/6110.jpg                                         ",Babji Consult Techies,وجبات مشوية على اللهب
3,وجبة تشيز برجر,-,in stock,new,1.500,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/6280.jpg                                         ",Babji Consult Techies,وجبات مشوية على اللهب
4,بطاطا كيرلي,-,in stock,new,0.000,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/9.jpg                                            ",Babji Consult Techies,الطلبات الجانبية و السلطة
5,بطاطا,-,in stock,new,0.000,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/5.jpg                                            ",Babji Consult Techies,الطلبات الجانبية و السلطة
6,مايونيز بالثوم,-,in stock,new,0.100,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/257106.jpg                                       ",Babji Consult Techies,الطلبات الجانبية و السلطة
7,باربيكيو صوص,-,in stock,new,0.100,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/257105.jpg                                       ",Babji Consult Techies,الطلبات الجانبية و السلطة
8,كوكا كولا,-,in stock,new,0.450,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/248020.jpg                                       ",Babji Consult Techies,حلويات و المشروبات
9,كوكاكولا زيرو,-,in stock,new,0.450,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/248284.jpg                                       ",Babji Consult Techies,حلويات و المشروبات
10,سبرايت,-,in stock,new,0.450,https://consulttechies.com,"https://lsm.koutfood.com/Content/img/Menu/Cari/2_0/248100.jpg                                       ",Babji Consult Techies,حلويات و المشروبات
